model,family,outer_images,positive_images,precision,recall,iou,micro_f1,macro_f1,weighted_f1
ResNet50 U-Net,U-Net,929,799,0.6316759007841742,0.48096689179607655,0.3756241693406927,0.5461145241737376,0.3634727479952289,0.48587414685817143
ConvNeXt-Large U-Net,U-Net,929,799,0.6016850512559496,0.5241976697341323,0.38915406053717433,0.5602748774843471,0.38807741502446963,0.4921067521559207
SegFormer-B5,Transformer,929,799,0.5257229137863779,0.372380361843019,0.27874028746736046,0.4359607501213967,0.311411060687573,0.38485151166224124
SAM2-SAC,SAM2,929,799,0.6914408448309018,0.4933516895356907,0.4043333330480617,0.5758366956518348,0.41628123273559386,0.5189155002767423
SAM2-Adapter,SAM2,929,799,0.6851859873235451,0.5302337471066948,0.4263631535527534,0.5978325400383172,0.3973867978568844,0.5241466522211506
