model,experiment_id,outer_fold,best_epoch,image,valid_pixels,gt_foreground_pixels,foreground_fraction_weight,foreground_macro_f1,binary_foreground_f1,crack_f1,craquelure_f1
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R9_C08__y00000_x00000,218402,810,0.0037087572272866964,0.0,0.0,,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R9_C09__y00000_x00000,262144,848,0.00323486328125,0.0,0.0,,0.0
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R9_C10__y00000_x00000,259567,7982,0.030751213431358337,0.5614035129547119,0.5600513815879822,0.5614035129547119,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R9_C11__y00000_x00000,255512,698,0.0027317700441926718,0.0,0.0,0.0,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,01_門神部分(必要標註)_R9_C12__y00000_x00000,262144,0,0.0,,,,
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,KJTHT-SC-M-2RB1-4_R3_C04__y00000_x00000,239745,11031,0.046011388301849365,0.189492329955101,0.189492329955101,,0.189492329955101
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,KJTHT-SC-M-2RB1-4_R3_C04__y00000_x00256,232734,11669,0.05013878643512726,0.18171565234661102,0.20552976429462433,,0.18171565234661102
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,KJTHT-SC-M-2RB1-4_R3_C04__y00000_x00512,243450,15279,0.06276032328605652,0.33939653635025024,0.33939653635025024,,0.33939653635025024
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,KJTHT-SC-M-2RB1-4_R3_C04__y00256_x00000,262144,13545,0.051670074462890625,0.3011813759803772,0.3011813759803772,,0.3011813759803772
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,KJTHT-SC-M-2RB1-4_R3_C04__y00256_x00256,262144,16058,0.06125640869140625,0.3702860176563263,0.3732912540435791,,0.3702860176563263
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,1,1,KJTHT-SC-M-2RB1-4_R3_C04__y00256_x00512,262144,19404,0.0740203857421875,0.40150412917137146,0.4017241895198822,,0.40150412917137146
