model,experiment_id,outer_images,foreground_positive_images,image_macro_foreground_f1,image_weighted_foreground_f1,image_macro_binary_foreground_f1,image_weighted_binary_foreground_f1,fold0_weighted_foreground_f1,fold1_weighted_foreground_f1,fold2_weighted_foreground_f1,fold3_weighted_foreground_f1,fold4_weighted_foreground_f1,fold_mean_weighted_foreground_f1
ResNet50 U-Net,2026-08-17_dataset-v2_3class_resunet50_seed42,929,785,0.32427529836220703,0.4849197541394413,0.3715416116779003,0.5342438407143791,0.6753390971477291,0.49752138215939695,0.04702397512644944,0.5139674127206502,0.5096804153131652,0.4487064564934782
ConvNeXt-Tiny U-Net,2026-08-18_dataset-v2_3class_convnext-tiny_seed42,929,785,0.3584913578829847,0.495401135141451,0.39689176209222016,0.5332537162193132,0.6377383745987785,0.5123102855287113,0.05083008348954883,0.6098231306260778,0.5125607866402873,0.46465253217668073
ConvNeXt-Base U-Net,2026-08-18_dataset-v2_3class_convnext-base_seed42,929,785,0.3510226085816716,0.4992774173446472,0.39475684641544545,0.5342034165735329,0.6551987801471052,0.4931142094882231,0.03378737025773363,0.6211076025665898,0.5410895078377149,0.46885949405947336
ConvNeXt-Large U-Net,2026-08-17_dataset-v2_3class_convnext-large_seed42,929,785,0.36430158169429777,0.5115556250412903,0.4024257417351054,0.5451828726132473,0.6396695592536007,0.5801555168255037,0.05032542415691786,0.591702718649101,0.5349769824201611,0.4793660402610569
SegFormer-B2,2026-08-18_dataset-v2_3class_segformer-b2_seed42,929,785,0.2732423313820804,0.36563496555910435,0.31483083671929496,0.4047554263744717,0.41730591990983923,0.3427257037677446,0.02009645819020393,0.5623269860796968,0.4284925852163009,0.3541895306327571
SegFormer-B3,2026-08-18_dataset-v2_3class_segformer-b3_seed42,929,785,0.3064534694783517,0.42475953130603544,0.33962120153085895,0.46603974403403037,0.5770807218292905,0.3959275328508416,0.01605756029390043,0.5466552906924055,0.4482801064341164,0.39680024242011086
SegFormer-B5,2026-08-18_dataset-v2_3class_segformer-b5_seed42,929,785,0.28525285212058726,0.38514665327494096,0.3180407986366509,0.4204374307872297,0.49581435951659253,0.32762108552694597,0.051359650864230826,0.5202852463520028,0.4466718888499231,0.368350446221939
